		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
25	0	0	0	0	0.2	0.2	0.2	0.2	0.2	0	0	0	0.2	0.2	0.2	0.2	0.2	0.4	0.4	0.3	0.6	0.5	0.6	0.4	0.4	0.6	0.6	0.5	0.5	0.6	0.5	0.5	0.6	0.6
26	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.4	0.25	0.25	0.4	0.2	0.4	0.2	0.25	0.4	0.2	0.25	0.3	0.3	0.2	0.2
27	0.25	0.3	0.3	0.25	0.2	0.2	0.25	0.2	0.25	0.2	0.2	0.3	0.25	0.25	0.25	0.2	0.2	0.2	0.25	0.3	0.25	0.25	0.3	0.2	0.2	0.4	0.25	0.2	0.4	0.45	0.4	0.3	0.3	0.4
28	0	0.1	0.1	0.1	0.05	0.1	0.1	0.05	0.2	0	0	0.2	0.05	0.05	0.05	0	0.05	0.2	0.4	0.2	0.2	0.3	0.2	0.2	0.2	0.4	0.2	0.2	0.4	0.4	0.2	0.25	0.25	0.2
29	0	0	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.1	0.2	0.05	0.05	0.2	0.25	0.2	0.25	0.2
30	0.2	0.2	0.25	0.3	0.3	0.3	0.4	0.4	0.4	0.2	0.25	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.45	0.45	0.4	0.4	0.6	0.4	0.4	0.6	0.4	0.45	0.6	0.6	0.5	0.5	0.4	0.6
31	0	0	0	0.05	0.2	0.2	0.2	0.3	0.4	0	0	0	0.1	0.2	0.2	0.2	0.4	0.4	0.4	0.4	0.3	0.3	0.4	0.4	0.3	0.4	0.3	0.4	0.4	0.4	0.4	0.5	0.6	0.6
32	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0
33	0.05	0.05	0.05	0.05	0.05	0.05	0.1	0.2	0.2	0.05	0.05	0.05	0.05	0.05	0.1	0.2	0.2	0.3	0.2	0.4	0.4	0.2	0.4	0.3	0.25	0.2	0.4	0.25	0.2	0.2	0.3	0.4	0.25	0.3
34	0.45	0.6	0.6	0.6	0.6	0.6	0.6	0.65	0.65	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.65	0.1	0.3	0.25	0.2	0.3	0.25	0.1	0.05	0.4	0.2	0.05	0.4	0.4	0.4	0.4	0.4	0.4
35	0.05	0.05	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.05	0.1	0.1	0.2	0.2	0.2	0.2	0.25	0.2	0.4	0.3	0.4	0.4	0.4	0.2	0.3	0.25	0.4	0.4	0.25	0.25	0.2	0.1	0.1	0.1
