		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
23	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.32	0.32	0.24	0.32	0.24	0.24	0.24	0.32	0.24	0.24	0.32	0.32	0.32	0.24	0.24	0.32
24	0.2	0.2	0.12	0.12	0.2	0.2	0.24	0.24	0.32	0.12	0.12	0.12	0.2	0.12	0.2	0.32	0.32	0.32	0.4	0.4	0.32	0.32	0.4	0.32	0.44	0.44	0.32	0.44	0.52	0.32	0.24	0.2	0.24	0.2
25	0	0.04	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04	0	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.32	0.32	0.32	0.4	0.2	0.2	0.32	0.32	0.32	0.32	0.32	0.4	0.4	0.4	0.24
26	0.12	0.12	0.12	0.2	0.12	0.2	0.2	0.24	0.32	0.2	0.12	0.2	0.12	0.2	0.2	0.2	0.32	0.32	0.4	0.32	0.32	0.4	0.4	0.32	0.4	0.4	0.32	0.32	0.4	0.4	0.4	0.4	0.4	0.32
27	0.32	0.2	0.32	0.2	0.24	0.32	0.32	0.32	0.32	0.24	0.32	0.24	0.2	0.24	0.32	0.32	0.32	0.4	0.4	0.4	0.32	0.32	0.4	0.4	0.32	0.44	0.32	0.4	0.44	0.44	0.52	0.32	0.4	0.4
28	0.12	0.12	0.12	0.12	0.2	0.2	0.2	0.32	0.32	0.12	0.12	0.12	0.12	0.2	0.2	0.32	0.32	0.32	0.24	0.2	0.32	0.2	0.2	0.32	0.24	0.2	0.32	0.2	0.2	0.24	0.2	0.24	0.32	0.32
29	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.32	0.32	0.24	0.32	0.32	0.24	0.32	0.32	0.24	0.32	0.32	0.32	0.32	0.32	0.24	0.32
30	0.32	0.32	0.32	0.4	0.4	0.4	0.4	0.4	0.4	0.32	0.32	0.32	0.4	0.4	0.4	0.4	0.4	0.52	0.52	0.44	0.52	0.6	0.44	0.52	0.44	0.6	0.52	0.52	0.6	0.52	0.52	0.44	0.44	0.44
31	0.04	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.24	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.24	0.32	0.24	0.32	0.32	0.24	0.24	0.32	0.32	0.32	0.32	0.32	0.2	0.24	0.32	0.32	0.4	0.4
32	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0
33	0.2	0.12	0.12	0.12	0.2	0.2	0.24	0.32	0.32	0.04	0.12	0.12	0.2	0.2	0.24	0.24	0.32	0.52	0.24	0.4	0.52	0.2	0.4	0.52	0.4	0.4	0.52	0.32	0.4	0.4	0.4	0.4	0.4	0.4
34	0.4	0.4	0.4	0.52	0.32	0.32	0.32	0.4	0.4	0.32	0.4	0.52	0.4	0.4	0.4	0.4	0.32	0.32	0.32	0.32	0.32	0.32	0.4	0.32	0.4	0.4	0.32	0.44	0.4	0.32	0.32	0.32	0.24	0.32
35	0	0.12	0.12	0.2	0.24	0.24	0.32	0.24	0.32	0.04	0.04	0.2	0.2	0.2	0.24	0.32	0.32	0.2	0.4	0.32	0.4	0.4	0.32	0.2	0.32	0.2	0.4	0.32	0.24	0.32	0.2	0.12	0.12	0.12
36	0.24	0.32	0.32	0.32	0.32	0.4	0.4	0.4	0.4	0.24	0.32	0.32	0.32	0.32	0.4	0.32	0.4	0.52	0.6	0.4	0.52	0.52	0.44	0.52	0.52	0.32	0.52	0.44	0.32	0.44	0.4	0.32	0.4	0.4
37	0.12	0.12	0.12	0.2	0.32	0.4	0.4	0.4	0.4	0.12	0.12	0.2	0.32	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.44	0.44	0.4	0.4	0.4	0.4	0.4	0.32	0.4	0.32	0.24	0.32	0.4
38	0	0	0	0	0	0.12	0.12	0.12	0.2	0	0	0	0	0.12	0.12	0.12	0.2	0	0.12	0.2	0	0.12	0.2	0	0.12	0.2	0	0.12	0.2	0.2	0.2	0.2	0.2	0.2
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.24	0.12	0.2	0.2	0.2	0.12	0.24	0.2	0.12	0.12	0.04	0.12	0.04	0.12
40	0.12	0.12	0.2	0.24	0.2	0.2	0.2	0.2	0.32	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.32	0.32	0.4	0.4	0.4	0.4	0.32	0.52	0.4	0.4	0.52	0.4	0.52	0.52	0.4	0.44	0.4
41	0	0	0	0.04	0.12	0.12	0.12	0.12	0.12	0	0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0	0.2	0.2	0.12	0.12	0.2	0.24	0.2	0.2	0.32	0.2	0.32	0.24	0.2	0.2
42	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.32	0.2	0.2	0.12	0.2	0.2	0.24	0.24	0.24	0.32	0.32	0.52	0.32	0.4	0.52	0.32	0.4	0.4	0.32	0.4	0.4	0.32	0.24	0.32	0.24	0.24
43	0	0.04	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0.04	0	0	0	0	0
44	0	0.04	0	0	0.04	0.04	0.04	0.04	0.04	0	0	0	0	0	0.04	0.04	0.04	0.04	0.04	0.12	0.04	0.12	0.2	0.04	0	0	0.04	0.12	0	0.12	0.2	0.04	0	0
45	0.24	0.2	0.12	0.12	0.2	0.2	0.2	0.24	0.32	0.24	0.12	0.12	0.2	0.2	0.2	0.2	0.32	0.32	0.32	0.32	0.32	0.4	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32
46	0.2	0.2	0.2	0.32	0.32	0.4	0.4	0.4	0.4	0.12	0.2	0.24	0.24	0.32	0.32	0.32	0.4	0.32	0.32	0.44	0.4	0.2	0.44	0.32	0.44	0.44	0.4	0.4	0.44	0.4	0.44	0.4	0.4	0.4
47	0.2	0.24	0.2	0.2	0.24	0.2	0.2	0.2	0.2	0.32	0.2	0.32	0.24	0.2	0.2	0.2	0.2	0.2	0.32	0.52	0.32	0.24	0.52	0.2	0.12	0.24	0.32	0.12	0.32	0.24	0.24	0.32	0.32	0.32
48	0	0	0.2	0.2	0.2	0.32	0.32	0.32	0.4	0	0.2	0.2	0.2	0.24	0.4	0.32	0.4	0.4	0.4	0.44	0.32	0.4	0.52	0.4	0.44	0.4	0.32	0.4	0.6	0.2	0.2	0.24	0.2	0.2
49	0.32	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.44	0.4	0.52	0.52	0.52	0.4	0.52	0.6	0.52	0.6	0.64	0.6	0.6	0.6	0.6	0.6
